"filename", "language", "pip requirements", "Python", "JSON", "Ini", "ui", "Qrc", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Pichau\Documents\Unique\.idea\Unique.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10
"c:\Users\Pichau\Documents\Unique\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Pichau\Documents\Unique\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Pichau\Documents\Unique\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\Pichau\Documents\Unique\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Pichau\Documents\Unique\.qtcreator\project.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Pichau\Documents\Unique\alembic.ini", "Ini", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 120
"c:\Users\Pichau\Documents\Unique\backend\alembic.ini", "Ini", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 120
"c:\Users\Pichau\Documents\Unique\backend\alembic\env.py", "Python", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 21, 102
"c:\Users\Pichau\Documents\Unique\backend\alembic\versions\9685bd82d0be_big_bang.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 33
"c:\Users\Pichau\Documents\Unique\backend\alembic\versions\dd6b0fb4f78e_incluindo_tabelas.py", "Python", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 156
"c:\Users\Pichau\Documents\Unique\backend\bd\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\backend\bd\connection.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\Users\Pichau\Documents\Unique\backend\excluir_dados.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 13
"c:\Users\Pichau\Documents\Unique\backend\main.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Pichau\Documents\Unique\backend\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\backend\models\caixa.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Pichau\Documents\Unique\backend\models\carrinhos.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Pichau\Documents\Unique\backend\models\clientes.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\Pichau\Documents\Unique\backend\models\estabelecimento.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Pichau\Documents\Unique\backend\models\pedidos.py", "Python", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 66
"c:\Users\Pichau\Documents\Unique\backend\models\produtos.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 45
"c:\Users\Pichau\Documents\Unique\backend\requirements.txt", "pip requirements", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\Pichau\Documents\Unique\backend\routers\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\backend\routers\caixa.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 75
"c:\Users\Pichau\Documents\Unique\backend\routers\carrinhos.py", "Python", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 75
"c:\Users\Pichau\Documents\Unique\backend\routers\clientes.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Pichau\Documents\Unique\backend\routers\estabelecimento.py", "Python", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48
"c:\Users\Pichau\Documents\Unique\backend\routers\pedidos.py", "Python", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 37, 168
"c:\Users\Pichau\Documents\Unique\backend\routers\produtos.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 122
"c:\Users\Pichau\Documents\Unique\backend\schemas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Pichau\Documents\Unique\backend\schemas\caixa.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
