"filename", "language", "Python", "ui", "pip requirements", "Dotenv", "QRC", "comment", "blank", "total"
"c:\Users\Pichau\Documents\unique-v\desktop\.env", "Dotenv", 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Pichau\Documents\unique-v\desktop\app.py", "Python", 53, 0, 0, 0, 0, 2, 21, 76
"c:\Users\Pichau\Documents\unique-v\desktop\config\config.py", "Python", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Pichau\Documents\unique-v\desktop\controller\caixa\Caixa.py", "Python", 127, 0, 0, 0, 0, 0, 15, 142
"c:\Users\Pichau\Documents\unique-v\desktop\controller\clientes\AddClientes.py", "Python", 82, 0, 0, 0, 0, 11, 22, 115
"c:\Users\Pichau\Documents\unique-v\desktop\controller\clientes\Clientes.py", "Python", 20, 0, 0, 0, 0, 10, 22, 52
"c:\Users\Pichau\Documents\unique-v\desktop\controller\configuracao\PainelConfig.py", "Python", 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Pichau\Documents\unique-v\desktop\controller\estabelecimento\Estabelecimento.py", "Python", 139, 0, 0, 0, 0, 1, 36, 176
"c:\Users\Pichau\Documents\unique-v\desktop\controller\mesas\AddProdutoMesas.py", "Python", 67, 0, 0, 0, 0, 0, 29, 96
"c:\Users\Pichau\Documents\unique-v\desktop\controller\mesas\Mesas.py", "Python", 83, 0, 0, 0, 0, 8, 10, 101
"c:\Users\Pichau\Documents\unique-v\desktop\controller\mesas\PedidosMesas.py", "Python", 150, 0, 0, 0, 0, 22, 43, 215
"c:\Users\Pichau\Documents\unique-v\desktop\controller\pedidos\DadosPedido.py", "Python", 156, 0, 0, 0, 0, 19, 38, 213
"c:\Users\Pichau\Documents\unique-v\desktop\controller\pedidos\Pedidos.py", "Python", 101, 0, 0, 0, 0, 0, 29, 130
"c:\Users\Pichau\Documents\unique-v\desktop\controller\produtos\AddCategoria.py", "Python", 60, 0, 0, 0, 0, 1, 20, 81
"c:\Users\Pichau\Documents\unique-v\desktop\controller\produtos\Addprodutos.py", "Python", 117, 0, 0, 0, 0, 11, 36, 164
"c:\Users\Pichau\Documents\unique-v\desktop\controller\produtos\DadosProdutos.py", "Python", 134, 0, 0, 0, 0, 1, 41, 176
"c:\Users\Pichau\Documents\unique-v\desktop\controller\produtos\Produtos.py", "Python", 126, 0, 0, 0, 0, 3, 51, 180
"c:\Users\Pichau\Documents\unique-v\desktop\controller\unique\unique.py", "Python", 161, 0, 0, 0, 0, 14, 43, 218
"c:\Users\Pichau\Documents\unique-v\desktop\core\app_context.py", "Python", 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Pichau\Documents\unique-v\desktop\infra\api_client.py", "Python", 43, 0, 0, 0, 0, 0, 14, 57
"c:\Users\Pichau\Documents\unique-v\desktop\pictures\imagens.qrc", "QRC", 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\Pichau\Documents\unique-v\desktop\pictures\imagens_rc.py", "Python", 15097, 0, 0, 0, 0, 58, 8, 15163
"c:\Users\Pichau\Documents\unique-v\desktop\requirements.txt", "pip requirements", 0, 0, 357, 0, 0, 0, 0, 357
"c:\Users\Pichau\Documents\unique-v\desktop\services\websocket.py", "Python", 66, 0, 0, 0, 0, 0, 20, 86
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_box\Caixa.ui", "ui", 0, 419, 0, 0, 0, 0, 4, 423
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_box\Caixa_ui.py", "Python", 202, 0, 0, 0, 0, 10, 40, 252
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_clients\add_clientes.ui", "ui", 0, 401, 0, 0, 0, 0, 1, 402
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_clients\add_clientes_ui.py", "Python", 190, 0, 0, 0, 0, 10, 60, 260
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_clients\clientes.ui", "ui", 0, 222, 0, 0, 0, 0, 1, 223
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_clients\clientes_ui.py", "Python", 96, 0, 0, 0, 0, 10, 24, 130
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_config\painel_configuracoes.ui", "ui", 0, 296, 0, 0, 0, 0, 1, 297
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_config\painel_configuracoes_ui.py", "Python", 105, 0, 0, 0, 0, 10, 24, 139
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_delivery\delivery.ui", "ui", 0, 232, 0, 0, 0, 0, 5, 237
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_delivery\delivery_ui.py", "Python", 115, 0, 0, 0, 0, 10, 26, 151
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_delivery\pedido_delivery.ui", "ui", 0, 580, 0, 0, 0, 0, 1, 581
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_delivery\pedido_delivery_ui.py", "Python", 231, 0, 0, 0, 0, 10, 70, 311
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_establishment\form_estabelecimento.ui", "ui", 0, 626, 0, 0, 0, 0, 4, 630
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_establishment\form_estabelecimento_ui.py", "Python", 305, 0, 0, 0, 0, 10, 100, 415
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_orders\add_produtos.ui", "ui", 0, 200, 0, 0, 0, 0, 1, 201
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_orders\add_produtos_ui.py", "Python", 89, 0, 0, 0, 0, 10, 24, 123
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_orders\mesas.ui", "ui", 0, 252, 0, 0, 0, 0, 1, 253
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_orders\mesas_ui.py", "Python", 100, 0, 0, 0, 0, 10, 30, 140
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_orders\pedido_mesa.ui", "ui", 0, 505, 0, 0, 0, 0, 1, 506
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_orders\pedido_mesa_ui.py", "Python", 204, 0, 0, 0, 0, 10, 62, 276
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_products\add_categorias.ui", "ui", 0, 251, 0, 0, 0, 0, 6, 257
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_products\add_categorias_ui.py", "Python", 115, 0, 0, 0, 0, 10, 28, 153
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_products\add_produtos.ui", "ui", 0, 518, 0, 0, 0, 0, 7, 525
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_products\add_produtos_ui.py", "Python", 254, 0, 0, 0, 0, 10, 74, 338
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_products\data_produto.ui", "ui", 0, 696, 0, 0, 0, 0, 13, 709
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_products\data_produto_ui.py", "Python", 312, 0, 0, 0, 0, 10, 92, 414
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_products\produtos.ui", "ui", 0, 300, 0, 0, 0, 0, 5, 305
"c:\Users\Pichau\Documents\unique-v\desktop\windows\form_products\produtos_ui.py", "Python", 136, 0, 0, 0, 0, 10, 30, 176
"c:\Users\Pichau\Documents\unique-v\desktop\windows\login.ui", "ui", 0, 241, 0, 0, 0, 0, 2, 243
"c:\Users\Pichau\Documents\unique-v\desktop\windows\login_ui.py", "Python", 124, 0, 0, 0, 0, 10, 38, 172
"c:\Users\Pichau\Documents\unique-v\desktop\windows\unique.ui", "ui", 0, 2408, 0, 0, 0, 0, 47, 2455
"c:\Users\Pichau\Documents\unique-v\desktop\windows\unique_ui.py", "Python", 1039, 0, 0, 0, 0, 10, 206, 1255
"Total", "-", 20431, 8147, 357, 2, 22, 321, 1542, 30822
